Disease,Symptom
C0020443,C0038990
C0020443,C0337672
C0020443,C0438716
C0020443,C0039070
C0020443,C0028643
C0020443,C0235710
C0020443,C0392680
C0020443,C0520887
C0020443,C0233481
C0020443,C0520888
C0020443,C0428977
C0020443,C0013404
C0021311,C0015967
C0021311,C0041834
C0021311,C0029053
C0021311,C0019214
C0021311,C0085593
C0021311,C0033774
C0021311,C0011991
C0021311,C0549483
C0021311,C0038999
C0021311,C0030193
C0021311,C0277797
C0021311,C0010200
C0042029,C0015967
C0042029,C0013428
C0042029,C0018965
C0042029,C0235634
C0042029,C0023380
C0042029,C0004093
C0042029,C0020625
C0042029,C0578150
C0042029,C0476273
C0042029,C0241705
C0042029,C0856054
C0042029,C0239110
C0002871,C0085593
C0002871,C0744492
C0002871,C0746619
C0002871,C0013491
C0002871,C1269955
C0002871,C0019080
C0002871,C0030232
C0002871,C0004093
C0002871,C0015672
C0002871,C0744740
C0002871,C0004604
C0002871,C0149746
C0002871,C0020625
C0002871,C0012833
C0002871,C0392680
C0002871,C0030193
C0002871,C0035508
C0002871,C0003862
C0002871,C0038999
C0002871,C1096646
C0024117,C0392680
C0024117,C0043144
C0024117,C0010200
C0024117,C0013404
C0024117,C0476273
C0024117,C0241235
C0024117,C0700292
C0024117,C0020440
C0024117,C0376405
C0024117,C0232292
C0497327,C0015967
C0497327,C0085639
C0497327,C0241526
C0497327,C0023380
C0497327,C0085631
C0497327,C0013491
C0497327,C0039070
C0497327,C0034642
C0497327,C0041657
C0497327,C0010200
C0497327,C0425251
C0497327,C0030193
C0497327,C0427055
C0497327,C0232498
C0497327,C0035508
C0497327,C1273573
C0497327,C0233762
C1565489,C0392680
C1565489,C0020461
C1565489,C0085619
C1565489,C0034642
C1565489,C0085606
C1565489,C0003962
C1565489,C0744492
C1565489,C0004093
C1565489,C0277797
C1565489,C0856054
C1565489,C0013404
C1565489,C1299586
C1565489,C0011991
C1565489,C0020649
C1565489,C0238844
C1565489,C0038999
C1565489,C0086439
C0009676,C0036572
C0009676,C0014394
C0009676,C0023380
C0009676,C0234518
C0009676,C0085639
C0009676,C0239110
C0009676,C0856054
C0009676,C0232766
C0009676,C0041657
C0009676,C0085631
C0009676,C0231530
C0009676,C0004093
C0009676,C0234450
C0009676,C0012833
C0009676,C0018681
C0009676,C0013362
C0009676,C0220870
C0009676,C0040822
C0009676,C0020625
C0009676,C0241526
C0029408,C0030193
C0029408,C0149696
C0029408,C0239832
C0029408,C0858924
C0029408,C0013144
C0029408,C0004093
C0029408,C0337672
C0029408,C0850149
C0029408,C0085602
C0029408,C0427008
C0029408,C1273573
C0020676,C0392680
C0020676,C0242453
C0020676,C0013144
C0020676,C0020625
C0020676,C0085639
C0020676,C1273573
C0020676,C0032617
C0020676,C0020649
C0020676,C1299586
C0020676,C0039070
C0020676,C0028084
C0020676,C0234518
C0020676,C0043094
C0020676,C0004093
C0020676,C0015672
C0020676,C0085631
C0020676,C0856054
C0020676,C0424230
C0020676,C0042963
C0020676,C0028643
C0020676,C0577559
C0700613,C0233481
C0700613,C0424000
C0700613,C0438696
C0700613,C0917801
C0700613,C0150041
C0700613,C0022107
C0700613,C0040822
C0700613,C0312422
C0700613,C0424109
C0700613,C0557075
C0700613,C0027769
C0700613,C0233763
C0700613,C0016579
C0700613,C1299586
C0700613,C0008031
C0700613,C0376405
C0700613,C0085631
C0700613,C0030252
C0700613,C0233762
C0700613,C0344315
C0700613,C0600142
C0700613,C0030193
C0700613,C0239110
C0700613,C0028084
C0006826,C0030193
C0006826,C0577559
C0006826,C0221198
C0006826,C0332601
C0006826,C0743482
C0006826,C0043096
C0006826,C0003962
C0006826,C0019825
C0006826,C0205400
C0006826,C0018965
C0001175,C0015967
C0001175,C0028081
C0001175,C0233308
C0001175,C0010200
C0001175,C0032739
C0001175,C0043096
C0001175,C0085593
C0001175,C0011991
C0001175,C0008033
C0001175,C0376405
C0001175,C0231835
C0001175,C0239134
C0001175,C0026827
C0001175,C0424000
C0007642,C0041834
C0007642,C0030193
C0007642,C0038999
C0007642,C0332575
C0007642,C0015967
C0007642,C0549483
C0007642,C0376405
C0007642,C0020580
C0007642,C0034880
C0007642,C0033774
C0007642,C0008031
C0007642,C1384489
C0007642,C0085593
C0007642,C0234233
C0017168,C0030193
C0017168,C0008031
C0017168,C0085624
C0017168,C0020625
C0017168,C0239233
C0017168,C1444773
C0017168,C0232292
C0017168,C0234215
C0017168,C1305739
C0017168,C0027497
C0017168,C0858924
C0017168,C0009806
C0017168,C0030252
C0017168,C0000737
C0017168,C0018834
C0017168,C0038990
C0017168,C0004093
C0036690,C0015967
C0036690,C0476273
C0036690,C0020649
C0036690,C0231835
C0036690,C0085593
C0036690,C0023380
C0036690,C0428977
C0036690,C0006157
C0036690,C0010520
C0036690,C0233308
C0036690,C0019080
C0036690,C0241526
C0036690,C0034642
C0036690,C0277797
C0149871,C0038999
C0149871,C0030193
C0149871,C0013491
C0149871,C0392680
C0149871,C0023222
C0149871,C0018800
C0149871,C0034642
C0149871,C0041834
C0149871,C0020649
C0149871,C0009024
C0149871,C0850149
C0149871,C0332575
C0011175,C0015967
C0011175,C0011991
C0011175,C0042963
C0011175,C0020649
C0011175,C0027497
C0011175,C0220870
C0011175,C0857256
C0011175,C0856054
C0011175,C0003123
C0011175,C0004093
C0011175,C0234215
C0011175,C0039070
C0011175,C0023380
C0011175,C0012833
C0011175,C0039070
C0027651,C0577559
C0027651,C0221198
C0027651,C0008031
C0027651,C0018965
C0027651,C1269955
C0027651,C0030193
C0027651,C0003126
C0027651,C0205400
C0027651,C1513183
C0027651,C0149696
C0027651,C0043096
C0027651,C0028081
C0027651,C0271202
C0027651,C0239233
C0027651,C0000737
C0027651,C0018681
C0034065,C0392680
C0034065,C0700292
C0034065,C0231835
C0034065,C0744727
C0034065,C0008031
C0034065,C0013404
C0034065,C0008033
C0034065,C0151315
C0034065,C0457096
C0034065,C0239134
C0034065,C0008767
C0034065,C0241526
C0034065,C0476273
C0034065,C0043144
C0034065,C0277797
C0034065,C0850149
C0014544,C0036572
C0014544,C0347938
C0014544,C0236018
C0014544,C0231530
C0014544,C0013144
C0014544,C0040822
C0014544,C0241526
C0014544,C0018991
C0014544,C0027066
C0014544,C0232517
C0014544,C0234450
C0014544,C0023380
C0014544,C0558195
C0878544,C0392680
C0878544,C0085619
C0878544,C0086439
C0878544,C0240100
C0878544,C0030252
C0878544,C0008031
C0878544,C0039070
C0878544,C0457096
C0878544,C0034642
C0878544,C0013404
C0878544,C0231807
C0878544,C0238705
C0878544,C0015672
C0878544,C0043094
C0878544,C0376405
C0022661,C0042963
C0022661,C0085619
C0022661,C0020461
C0022661,C0028961
C0022661,C0240100
C0022661,C0027497
C0022661,C0392680
C0022661,C0856054
C0022661,C0011991
C0022661,C0004093
C0022661,C0232292
C0022661,C0231218
C0022661,C0085593
C0022661,C0034642
C0022661,C0015967
C0022661,C0008033
C0022661,C0277797
C0022661,C0744492
C0022661,C0038999
C0022661,C0007398
C0022661,C0241526
C0022661,C0457096
C0007097,C0577559
C0007097,C0030193
C0007097,C0221198
C0007097,C1269955
C0007097,C0205400
C0007097,C0043096
C0007097,C0019825
C0007097,C0858924
C0007097,C1513183
C0007097,C0850149
C0007097,C0009806
C0007097,C0847488
C0007097,C0030554
C0007097,C0232995
C0007097,C0011991
C0007097,C0234233
C0007097,C0018834
C0007097,C0027497
C0007097,C0034079
C0019196,C0003962
C0019196,C0000731
C0019196,C0424000
C0019196,C0010200
C0019196,C0234238
C0019196,C0558143
C0019196,C0581912
C0019196,C0233762
C0019196,C0085593
C0019196,C0232766
C0019196,C0376405
C0085096,C0392680
C0085096,C0234253
C0085096,C0002962
C0085096,C0241526
C0085096,C0020461
C0085096,C0232201
C0085096,C0553668
C0085096,C0013404
C0085096,C0234233
C0085096,C0003123
C0085096,C0234450
C0033975,C0438696
C0033975,C0233762
C0033975,C0424000
C0033975,C0233763
C0033975,C0424230
C0033975,C0312422
C0033975,C0424068
C0033975,C0150041
C0033975,C0022107
C0033975,C0085631
C0033975,C0040822
C0033975,C0007398
C0033975,C0424109
C0033975,C0237154
C0033975,C0917801
C0033975,C0424092
C0033975,C0455769
C0033975,C0728899
C0033975,C0233481
C0033975,C0424295
C0033975,C0376405
C0033975,C0344315
C0033975,C0558261
C0033975,C0028084
C0033975,C0239110
C0020473,C0008031
C0020473,C0002962
C0020473,C0030252
C0020473,C1305739
C0020473,C0085635
C0020473,C0038990
C0020473,C0235710
C0020473,C0392680
C0020473,C0392701
C0020473,C0086439
C0020473,C0018991
C0020473,C0012833
C0005586,C0424000
C0005586,C0455769
C0005586,C0438696
C0005586,C0022107
C0005586,C0085631
C0005586,C0557075
C0005586,C0578859
C0005586,C0233762
C0005586,C0424068
C0005586,C0424109
C0005586,C0424295
C0005586,C0007398
C0005586,C0150041
C0005586,C0233481
C0005586,C0917801
C0005586,C0917799
C0005586,C1299586
C0005586,C0233763
C0005586,C0020458
C0005586,C0026961
C0005586,C0234133
C0005586,C0240233
C0005586,C0728899
C0005586,C0424230
C0005586,C0237154
C0005586,C0312422
C0005586,C0040822
C0005586,C0392674
C0028754,C0030193
C0028754,C0007398
C0028754,C0037384
C0028754,C0008031
C0028754,C0429091
C0028754,C0557075
C0028754,C0392680
C0028754,C0015672
C0028754,C0497406
C0028754,C0232257
C0028754,C0344315
C0028754,C0013491
C0022116,C0013144
C0022116,C0008031
C0022116,C0002962
C0022116,C0438716
C0022116,C0235710
C0022116,C0392680
C0022116,C0013404
C0022116,C0232201
C0022116,C0428977
C0022116,C0038990
C0022116,C0034642
C0022116,C0231221
C0022116,C0003123
C1623038,C0003962
C1623038,C0085639
C1623038,C0038002
C1623038,C0033774
C1623038,C0000737
C1623038,C1269955
C1623038,C0000731
C1623038,C0221198
C1623038,C0578150
C1623038,C0744492
C1623038,C0234233
C1623038,C0151706
C0015230,C0015967
C0015230,C0033774
C0015230,C0332573
C0015230,C0221198
C0015230,C0332575
C0015230,C0018681
C0015230,C0277797
C0015230,C0003862
C0015230,C0038999
C0015230,C0041834
C0015230,C0085636
C0015230,C0085593
C0015230,C1384489
C0015230,C0030193
C0015230,C0221150
C0005001,C0856054
C0005001,C0006625
C0005001,C0312422
C0005001,C0149746
C0005001,C0085619
C0005001,C0028081
C0005001,C0476273
C0005001,C0003123
C0005001,C0013362
C0022660,C0020461
C0022660,C0020649
C0022660,C0020598
C0022660,C0028961
C0022660,C0578150
C0022660,C0004093
C0022660,C0020672
C0022660,C0011991
C0022660,C0019080
C0022660,C0241526
C0026266,C0392680
C0026266,C0231807
C0026266,C0231221
C0026266,C0086439
C0026266,C0013404
C0026266,C0039070
C0026266,C0205400
C0026266,C0238705
C0026266,C0030252
C0026266,C0015672
C0026266,C0042963
C0026266,C0030193
C0026266,C0018800
C0026266,C0235710
C0003864,C0030193
C0003864,C0578150
C0003864,C0917801
C0003864,C0004093
C0003864,C0039070
C0003864,C0038999
C0003864,C0741302
C0003864,C0427108
C0003864,C0392680
C0003864,C0000731
C0006277,C0010200
C0006277,C0043144
C0006277,C0392680
C0006277,C0232292
C0006277,C0015967
C0006277,C0242429
C0006277,C0239134
C0006277,C0019214
C0006277,C0028081
C0006277,C0019079
C0006277,C0553668
C0006277,C1260880
C0006277,C0239133
C0006277,C0013404
C0006277,C0085593
C0006277,C0038450
C0006277,C0043096
C0018989,C0013362
C0018989,C0030552
C0018989,C0004093
C0018989,C0221470
C0018989,C0036572
C0018989,C0234518
C0018989,C0751495
C0018989,C0018991
C0018989,C0423571
C0018989,C0241526
C0018989,C0085628
C0018989,C0013144
C0018989,C0231890
C0018989,C0271276
C0018989,C0677500
C0018989,C0522224
C0018989,C0009024
C0018989,C0427055
C0029456,C0242453
C0029456,C0085639
C0029456,C0019572
C0029456,C0558361
C0029456,C0000731
C0029456,C0042571
C0029456,C0239832
C0029456,C0233565
C0029456,C0030193
C0029456,C0039070
C0029456,C0848168
C0029456,C0277797
C0029456,C0150045
C0029456,C0220870
C0007787,C0234518
C0007787,C0013362
C0007787,C0427055
C0007787,C0004093
C0007787,C0151315
C0007787,C0042571
C0007787,C0028643
C0007787,C0220870
C0007787,C0234133
C0007787,C0271276
C0007787,C0344232
C0007787,C0018681
C0007787,C0848277
C0007787,C0039070
C0007787,C1299586
C0007787,C0423982
C0007787,C0233844
C0001418,C0577559
C0001418,C0221198
C0001418,C0043096
C0001418,C0009806
C0001418,C0231890
C0001418,C0278014
C0001418,C0239233
C0001418,C0018932
C0001418,C0231872
C0001418,C0030193
C0001418,C0008767
C0001418,C0000737
C1456784,C0233762
C1456784,C0233763
C1456784,C0085631
C1456784,C0022107
C1456784,C0424068
C1456784,C0424000
C1456784,C0438696
C1456784,C0558261
C1456784,C0233647
C1456784,C0237154
C1456784,C0455769
C1456784,C0344315
C1456784,C0231187
C1456784,C0008767
C1456784,C0312422
C1456784,C0240233
C0030305,C0042963
C0030305,C0000737
C0030305,C0027497
C0030305,C0030193
C0030305,C0011991
C0030305,C0241252
C0030305,C0424790
C0030305,C0277797
C0030305,C0234233
C0021167,C0221166
C0021167,C0036572
C0021167,C0004093
C0021167,C0150045
C0021167,C0041657
C0021167,C0236018
C0021167,C0554980
C0021167,C0877040
C0021167,C0040822
C0021167,C0037763
C0021167,C0847488
C0021167,C0039070
C0021167,C0085639
C0021167,C0427008
C0021167,C0241526
C0013405,C0085619
C0013405,C0392680
C0013405,C0231807
C0013405,C0240100
C0013405,C0034642
C0013405,C0008031
C0013405,C0030252
C0013405,C0038990
C0013405,C0043094
C0013405,C0010200
C0013405,C0013404
C0019270,C0000737
C0019270,C0030193
C0019270,C0020578
C0019270,C0278141
C0019270,C0016927
C0019270,C0027497
C0019270,C0872410
C0019270,C0018991
C0019270,C0234233
C0019270,C0019080
C0019270,C0277797
C0019270,C0149696
C0019270,C0277899
C0019270,C0004093
C0019270,C0577559
C0019270,C0205400
C0376358,C0018965
C0376358,C0392699
C0376358,C0004093
C0376358,C0521516
C0376358,C0848621
C0376358,C0008033
C0376358,C0744492
C0376358,C0034642
C0376358,C0238844
C0376358,C0150045
C0376358,C0013428
C0376358,C0011991
C0376358,C0042571
C0376358,C0151878
C0376358,C0004134
C0376358,C0030552
C0376358,C0271202
C0376358,C1269955
C0376358,C0578150
C0376358,C0577559
C0376358,C0035508
C0376358,C0149746
C0376358,C0043096
C0034063,C0085606
C0034063,C0392680
C0034063,C0034642
C0034063,C0231835
C0034063,C0085619
C0034063,C0018862
C0034063,C0240100
C0034063,C0013404
C0034063,C0038990
C0034063,C0376405
C0034063,C0235710
C0034063,C0020461
C0034063,C0232201
C0034063,C0008031
C0034063,C0020649
C0034063,C0043144
C0024228,C0030193
C0024228,C0577559
C0024228,C0028081
C0024228,C0038002
C0024228,C0221198
C0024228,C0085593
C0024228,C0043096
C0024228,C0038999
C0024228,C0015967
C0024228,C0034880
C0024228,C0231890
C0024228,C0850149
C0024228,C0231872
C0024228,C0332575
C0024228,C0019209
C0024228,C0015672
C0003507,C0231807
C0003507,C0039070
C0003507,C0235710
C0003507,C0232257
C0003507,C0036396
C0003507,C0002962
C0003507,C0008031
C0003507,C0577979
C0003507,C0428977
C0003507,C0392680
C0003507,C0030193
C0006142,C0024103
C0006142,C0577559
C0006142,C0030554
C0006142,C0277845
C0006142,C0041834
C0006142,C1299586
C0006142,C0221198
C0006142,C0239301
C0006142,C0085624
C0006142,C0013404
C0006142,C0038999
C0006142,C0016579
C0036341,C0233762
C0036341,C0751229
C0036341,C0022107
C0036341,C0424068
C0036341,C0376405
C0036341,C0085631
C0036341,C0438696
C0036341,C0233481
C0036341,C0233763
C0036341,C0041667
C0036341,C0237154
C0012813,C0000737
C0012813,C0549483
C0012813,C0541911
C0012813,C0857199
C0012813,C0011991
C0012813,C0234233
C0012813,C0013428
C0012813,C0030193
C0012813,C0042963
C0012813,C0232201
C0012813,C0232488
C0012813,C0277797
C0012813,C0232498
C0012813,C0015967
C0012813,C1273573
C0012813,C0205400
C0012813,C0085606
C0012813,C0003123
C0012813,C0746619
C0012813,C0009806
C0546817,C0034642
C0546817,C0240100
C0546817,C0020461
C0546817,C0085619
C0546817,C0392680
C0546817,C0013144
C0546817,C0043094
C0546817,C0020621
C0546817,C0020649
C0546817,C0038999
C0546817,C0000731
C0030920,C0000737
C0030920,C0221166
C0030920,C0027497
C0030920,C0042963
C0030920,C0521516
C0030920,C0848168
C0030920,C0008031
C0030920,C0018991
C0030920,C0232517
C0030920,C0020175
C0030920,C0277797
C0030920,C0027769
C0029443,C0030193
C0029443,C0332575
C0029443,C0240813
C0029443,C0015967
C0029443,C0241705
C0029443,C0234233
C0029443,C0038999
C0029443,C0277797
C0029443,C0041834
C0029443,C0549483
C0029443,C0016512
C0029443,C0152032
C0017152,C0744740
C0017152,C0000737
C0017152,C0042963
C0017152,C0281825
C0017152,C0027497
C0017152,C0728899
C0017152,C0019080
C0017152,C0744492
C0017152,C0030193
C0017152,C0043096
C0017152,C0234233
C0017152,C0012833
C0004610,C0015967
C0004610,C0085593
C0004610,C0016382
C0004610,C0241526
C0004610,C0085632
C0004610,C1313921
C0004610,C0042963
C0004610,C0000731
C0004610,C0239981
C0004610,C0241157
C0004610,C0242453
C0004610,C0011991
C0004610,C0232498
C0004610,C0008033
C0004610,C0029053
C0004610,C0030232
C0035078,C0085619
C0035078,C0028961
C0035078,C0232854
C0035078,C0277794
C0035078,C0241526
C0035078,C0020649
C0035078,C0014394
C0035078,C0392680
C0035078,C0019080
C0035078,C0242453
C0035078,C0442739
C0035078,C0425251
C0035078,C0015672
C0002895,C1135120
C0002895,C0004604
C0002895,C0030193
C0002895,C0392680
C0002895,C1260880
C0002895,C0008031
C0002895,C0000737
C0002895,C0019214
C0002895,C0457097
C0002895,C0277797
C0002895,C0018681
C0018801,C0085619
C0018801,C0015672
C0018801,C0231807
C0018801,C0013404
C0018801,C0392680
C0018801,C0232258
C0018801,C0240100
C0018801,C0694547
C0018801,C0020649
C0018801,C0002962
C0018801,C0086439
C0041912,C0010200
C0041912,C0242429
C0041912,C0043144
C0041912,C0392680
C0041912,C0553668
C0041912,C0015967
C0041912,C0848340
C0041912,C0850149
C0041912,C1260880
C0041912,C0085632
C0041912,C0231872
C0041912,C0234866
C0041912,C0521516
C0041912,C0008033
C0041912,C0028081
C0041912,C0013404
C0041912,C0239134
C0041912,C0029053
C0041912,C0035508
C0041912,C0425488
C0041912,C0277797
C0041912,C0237304
C0041912,C0264273
C0041912,C0743482
C0041912,C0871754
C0041912,C1511606
C0041912,C0436331
C0041912,C0578150
C0019158,C0003962
C0019158,C0233308
C0019158,C0231835
C0019158,C0000737
C0019158,C0033774
C0019158,C0003123
C0019158,C1096646
C0019158,C0221151
C0019158,C0085593
C0019158,C0476273
C0019158,C0015967
C0019158,C0042963
C0020542,C0392680
C0020542,C0271276
C0020542,C0581911
C0020542,C0238844
C0020542,C0151315
C0020542,C0231807
C0020542,C0010520
C0020542,C0020649
C0020542,C0238705
C0011168,C0030554
C0011168,C0231690
C0011168,C0013362
C0011168,C0221150
C0011168,C0019825
C0011168,C0038450
C0011168,C0037763
C0011168,C0004093
C0011168,C0234979
C0011168,C0004134
C0011168,C1321756
C0011168,C0043096
C0011168,C0427008
C0011168,C0221198
C0011168,C0748706
C0018099,C0600142
C0018099,C0030193
C0018099,C0332575
C0018099,C0038999
C0018099,C0041834
C0018099,C0743482
C0018099,C0234233
C0018099,C0086439
C0018099,C0003962
C0018099,C0376405
C0040034,C0013491
C0040034,C0085702
C0040034,C0032781
C0040034,C0019080
C0040034,C0231835
C0040034,C0015967
C0040034,C0033774
C0040034,C0020649
C0040034,C0015672
C0020615,C0241526
C0020615,C0020672
C0020615,C0542044
C0020615,C0151878
C0020615,C0311395
C0020615,C0041657
C0020615,C0392162
C0020615,C0032617
C0020615,C0476273
C0020615,C0020649
C0032290,C0264576
C0032290,C0015967
C0032290,C0009024
C0032290,C0856054
C0032290,C0029053
C0032290,C0241526
C0032290,C0277794
C0032290,C0085628
C0032290,C0036572
C0032290,C1096646
C0032290,C0018991
C0032290,C0010200
C0032290,C0232517
C0032290,C0030193
C0032290,C0011991
C0032290,C0000737
C0009319,C0015967
C0009319,C0205400
C0009319,C0457097
C0009319,C0042963
C0009319,C0027498
C0009319,C0541798
C0009319,C0030193
C0009319,C0027497
C0009319,C0085593
C0009319,C0232726
C0009319,C0150045
C0009319,C0000737
C0009319,C0578150
C1510475,C1167754
C1510475,C0009806
C1510475,C0549483
C1510475,C0744740
C1510475,C0220870
C1510475,C0011991
C1510475,C0019080
C1510475,C0030193
C1510475,C0221151
C1510475,C0232894
C1510475,C1511606
C1510475,C0003123
C1510475,C0027497
C1510475,C0424000
C1510475,C0150041
C0038663,C0233762
C0038663,C0917801
C0038663,C0438696
C0038663,C0424230
C0038663,C0424109
C0038663,C0235198
C0038663,C0234544
C0038663,C0233481
C0038663,C0015672
C0038663,C0040822
C0038663,C0740880
C0038663,C0085631
C0038663,C0241526
C0038663,C0312422
C0038663,C0424092
C0038663,C1299586
C0038663,C0022107
C0038663,C0234215
C0038663,C0013144
C0038663,C0016579
C0038663,C0041657
C0038663,C0015967
C0038663,C0010200
C0032305,C0457096
C0032305,C0006625
C0032305,C0085593
C0032305,C0043096
C0032305,C0239134
C0032305,C0231528
C0032305,C0011991
C0032305,C0151315
C0032305,C0239133
C0032305,C1384606
C0032305,C0020621
C0032305,C0231807
C0032305,C0149758
C0032305,C1096646
C0032305,C0850149
C0032305,C0018681
C0032305,C0857516
C0032305,C0233308
C0019163,C0233467
C0019163,C0231835
C0019163,C0457096
C0019163,C0221151
C0019163,C0576456
C0019163,C0000737
C0019163,C0232498
C0019163,C0558195
C0019163,C0859032
C0030567,C1321756
C0030567,C0085639
C0030567,C0427008
C0030567,C0424092
C0030567,C0085631
C0030567,C0018991
C0030567,C1299586
C0030567,C0241526
C0030567,C0039070
C0030567,C0427055
C0030567,C0149746
C0030567,C0233481
C0030567,C0013144
C0030567,C0018965
C0030567,C0040822
C0030567,C0028081
C0030567,C0577559
C0024299,C0221198
C0024299,C0015967
C0024299,C0221232
C0024299,C1096646
C0024299,C0043096
C0024299,C0004134
C0024299,C0040264
C0024299,C0020303
C0024299,C0429562
C0024299,C0019079
C0024299,C0015672
C0024299,C0085602
C0024299,C0241705
C0020456,C0234233
C0020456,C0033774
C0020456,C0235129
C0020456,C0241157
C0020456,C0332601
C0020456,C0043096
C0020456,C0344315
C0020456,C0239301
C0020456,C0043144
C0020456,C0003962
C0020456,C0036572
C0085584,C0242143
C0085584,C0232766
C0085584,C0019080
C0085584,C0013144
C0085584,C0424530
C0085584,C0872410
C0085584,C0236018
C0085584,C0270844
C0085584,C0742985
C0085584,C0239110
C0085584,C0241526
C0085584,C0205400
C0085584,C0086439
C0040961,C0392680
C0040961,C0030193
C0040961,C0042963
C0040961,C0027497
C0040961,C0428977
C0040961,C0000737
C0040961,C0015967
C0040961,C0008767
C0040961,C0264576
C0040961,C0338656
C0002395,C0013132
C0002395,C0085631
C0002395,C0028084
C0002395,C0035508
C0002395,C0239110
C0002395,C0235231
C0002395,C0425251
C0002395,C0871754
C0002395,C0234379
C0002395,C0020461
C0002395,C0427055
C0002395,C0541992
C0002395,C0231530
C0002395,C0558195
C0002395,C0040822
C0002395,C0010200
C0002395,C0015967
C0006840,C0011991
C0006840,C0242429
C0006840,C0043096
C0006840,C0085593
C0006840,C0018681
C0006840,C0232498
C0006840,C0376405
C0006840,C0085636
C0006840,C0028081
C0006840,C0221150
C0006840,C0149758
C0006840,C1096646
C0006840,C0850149
C0006840,C0559546
C0006840,C1291077
C0442874,C0004093
C0442874,C0028643
C0442874,C0027498
C0442874,C0541798
C0442874,C0020303
C0442874,C0429562
C0442874,C0231230
C0442874,C0232726
C0442874,C0030193
C0442874,C0232854
C0022658,C0392680
C0022658,C0020461
C0022658,C0008031
C0022658,C0015967
C0022658,C0232995
C0022658,C0151706
C0023267,C0233071
C0023267,C0019080
C0023267,C0156543
C0023267,C0232943
C0023267,C0026827
C0023267,C0232997
C0023267,C0392680
C0023267,C0015967
C0023267,C0018834
C0023267,C0860096
C0023267,C0702118
C0023267,C1405524
C0017601,C0085639
C0017601,C0000731
C0017601,C1273573
C0017601,C0030554
C0017601,C0020625
C0017601,C0085631
C0017601,C0041657
C0017601,C0085624
C0017601,C0221198
C0017601,C0577559
C0027627,C0205400
C0027627,C1269955
C0027627,C1513183
C0027627,C0007859
C0027627,C0034079
C0027627,C0030193
C0027627,C0000737
C0027627,C0149696
C0027627,C0577559
C0027627,C0741302
C0007102,C0221198
C0007102,C0242453
C0007102,C0009806
C0007102,C0858924
C0007102,C0011991
C0007102,C0000737
C0007102,C0152032
C0007102,C0857087
C0007102,C0278146
C0007102,C0428977
C0007102,C0042963
C0007102,C0694547
C0007102,C0027497
C0007102,C0235250
C0007102,C0085602
C0011880,C0032617
C0011880,C0042963
C0011880,C0027497
C0011880,C0000737
C0011880,C0443260
C0011880,C0235129
C0011880,C0232517
C0011880,C0027769
C0011880,C0232498
C0011880,C0232605
C0011880,C0344232
C0011880,C0152032
C0011880,C0011991
C0011880,C0036572
C0011880,C0236018
C0014549,C0013144
C0014549,C0542073
C0014549,C0027066
C0014549,C0040822
C0014549,C0751466
C0014549,C0522336
C0014549,C0234450
C0014549,C0019572
C0014549,C0554980
C0014549,C0231530
C0014549,C0241526
