Disease,Symptom
C0343528,C0015967
C0343528,C0009676
C0343528,C0012833
C0343528,C0085636
C0343528,C0231528
C0343528,C0018681
C0023241,C0032231
C0023241,C0015967
C0023241,C0035455
C0023241,C0023067
C0023241,C0018681
C0023241,C0009676
C0023241,C0023380
C0023241,C0011991
C0023241,C0850149
C0857946,C0018681
C0857946,C0015967
C0857946,C0013404
C0857946,C0850149
C1535939,C0850149
C1535939,C0231807
C0041296,C2363736
C0041296,C0028081
C0041296,C0015672
C0041296,C0231807
C0041333,C0013428
C0041333,C0018965
C0041333,C0033581
C0041333,C0002453
C0041333,C0025874
C0041333,C0025323
C1740806,C0028081
C1740806,C0043046
C1740806,C0011991
C0027145,C0151908
C0027145,C0019825
C0027145,C1859270
C0027145,C0428977
C0027145,C0018800
C0002390,C0015967
C0002390,C0859870
C0002390,C0013404
C0002390,C0023518
C0002390,C0015672
C0002390,C0015672
C0002390,C0010200
C0002390,C0013404
C0002390,C0010520
C0002390,C2363736
C0002390,C0034069
C0002390,C0023518
C0043167,C0009443
C0043167,C1096446
C0043167,C0024282
C0043167,C0859870
C0043167,C0042963
C0017150,C0011991
C0017150,C0014869
C0017150,C0000737
C0017150,C0038238
C0017150,C0541977
C0017150,C0497194
C0017150,C0011991
C0017150,C0038238
C0085695,C0027497
C0085695,C3714614
C0023788,C0024523
C0023788,C0000737
C0023788,C0011991
C0023788,C0038238
C0023788,C0151435
C0023788,C0003864
C0023788,C0574960
C0023788,C0015967
C0023788,C0151859
C0023788,C0497156
C0023788,C0004134
C0023788,C0151859
C0023788,C0003864
C0023788,C0000737
C0023788,C1291077
C0023788,C0038238
C0023788,C3714745
C0023788,C0011991
C0023788,C0015967
C0023788,C2363736
C0023788,C0231807
C0023788,C0010201
C0023788,C0002962
C0023788,C0013404
C0023788,C0003862
C0023788,C0014118
C0023788,C0162316
C0023788,C0018681
C0023788,C0085632
C0023788,C0242422
C0023788,C0036665
C0023788,C0040264
C0023788,C0015397
C0235950,C0011991
C0235950,C0002170
C0024473,C0151889
C0024473,C0852415
C0024473,C0039621
C0024473,C0003811
C0024473,C0340464
C0032827,C0340464
C0032827,C0151786
C0032827,C0009806
C0032827,C0032617
C0032827,C0085602
C0042842,C0028077
C0042842,C0151908
C0042842,C0854113
C0007570,C0011991
C0007570,C0038238
C0007570,C0016204
C0007570,C0009806
C0007570,C0003123
C0007570,C2363736
C0007570,C0236171
C0007570,C0013604
C0007570,C0038363
C0007570,C0026846
C0007570,C0042847
C0007570,C0016412
C0007570,C0002888
C0007570,C0042880
C0007570,C0013491
C0007570,C0162316
C0007570,C0017672
C0007570,C0030232
C0007570,C0221245
C0007570,C0020598
C0007570,C0039621
C0007570,C0151825
C0007570,C0029456
C0007570,C0027497
C0007570,C0019189
C0007570,C0162323
C0007570,C0011608
C0007570,C3203595
C0007570,C0011991
C0007570,C2363736
C0007570,C0024523
C0007570,C0041834
C0007570,C0162316
C0007570,C0017672
C0007570,C0029456
C0007570,C0019158
C0007570,C0003864
C0007570,C0478120
C0007570,C0011991
C0007570,C0038238
C0007570,C0016204
C0007570,C0009806
C0007570,C0003123
C0007570,C3714745
C0007570,C2363736
C0007570,C0236171
C0007570,C0038363
C0007570,C0026846
C0007570,C0016412
C0007570,C1510471
C0007570,C0162316
C0007570,C0017672
C0007570,C0030232
C0007570,C0221245
C0007570,C0020598
C0007570,C0039621
C0007570,C0151825
C0007570,C0029456
C0007570,C0027497
C0949570,C0033774
C0949570,C0042109
C0949570,C0011615
C0949570,C0013404
C0949570,C0011991
C0949570,C0027497
C0949570,C0042963
C0949570,C0026821
C0949570,C1291077
C0221036,C0401151
C0017155,C0011991
C0017155,C0013604
C0023530,C0038362
C0023530,C0031099
C0023530,C0037199
C0023530,C0029882
C0023530,C0031350
C0023530,C0032285
C0023530,C0242301
C0023530,C0497156
C0023530,C0015967
C0221406,C0018944
C0221406,C0020443
C0221406,C0029456
C0221406,C0026848
C0221406,C0235704
C0221406,C0042755
C0221406,C0020621
C0221406,C0332601
C0221406,C0311277
C0221406,C0020538
C0221406,C0020619
C0221406,C0947912
C0221406,C0019572
C0221406,C0011570
C0020461,C0947912
C0020461,C0852415
C0010068,C0002962
C0010068,C0002962
C0010068,C0003467
C0029456,C0022822
C0029456,C0016658
C0029456,C0004604
C1258215,C0042963
C1258215,C1291077
C1258215,C0000737
C0023890,C0015672
C0023890,C0015672
C0023890,C0015672
C0023890,C0234222
C0023890,C1291077
C0023890,C0027497
C0023890,C2363736
C0023890,C2981158
C0023890,C0242350
C0023890,C0156312
C0023890,C0018418
C0023890,C0002453
C0023890,C0038002
C0023890,C0003962
C0023890,C0239571
C0018378,C0854171
C0018378,C1744601
C0019937,C0026205
C0019937,C0033377
C0019937,C0014306
C0338481,C0036454
C0338481,C0012833
C0338481,C0029089
C0010346,C0574960
C0010346,C0014583
C0010346,C0022568
C0010346,C0392525
C0010346,C0003123
C0010346,C0015967
C0010346,C0027497
C0010346,C0042963
C0010346,C2363736
C0010346,C0015672
C0010346,C0016204
C0010346,C0011991
C0010346,C0014743
C0010346,C0003864
C0010346,C0042164
C0010346,C0042384
C0010346,C0017658
C0010346,C0015695
C0010346,C0002726
C0010346,C0401151
C0010346,C0694551
C0010346,C0079238
C0010346,C0281778
C0010346,C0002871
C0010346,C0221036
C0010346,C0151435
C0010346,C0574960
C0010346,C0003862
C0010346,C0003862
C0010346,C0042164
C0010346,C0022081
C0010346,C0014583
C0010346,C0014743
C0010346,C0085652
C0010346,C0038362
C0026764,C0016663
C0026764,C0236171
C0026764,C0221204
C0026764,C0029456
C0026764,C1565489
C0026764,C0152025
C0026764,C0015672
C0026764,C0013404
C0026764,C0040034
C0026764,C0023530
C0026764,C0020437
C0026764,C0033687
C0026764,C0021038
C0026764,C0002871
C1527249,C2363736
C1527249,C0015967
C1527249,C0948824
C1527249,C0015672
C1527249,C0015672
C1527249,C1321898
C1527249,C1258215
C1527249,C2363736
C1527249,C0015672
C1527249,C0030232
C1527249,C0002871
C0026896,C0026848
C0026896,C0026848
C0026896,C0151786
C0026896,C0036439
C0026896,C0033377
C0026896,C0012569
C0026896,C0011168
C0026896,C0013362
C0026896,C0013404
C0026896,C0376175
C0003873,C0546956
C0003873,C0014745
C0003873,C0162323
C0003873,C0039520
C0003873,C0006444
C0003873,C2363726
C0003873,C0038999
C0003873,C0026846
C0003873,C0015672
C0003873,C0028081
C0003873,C0028081
C0002871,C0015672
C0002871,C0018681
C0002871,C0231807
C0002871,C0039239
C0002871,C0012833
C0039070,C0041657
C0039070,C0012833
C0039070,C0030232
C0026769,C0029134
C0026769,C0016579
C0026769,C0012766
C0026769,C0004134
C0026769,C0085582
C0026769,C0151827
C0026769,C0029124
C0026769,C0012569
C0026769,C0271355
C0026769,C0029089
C0026769,C0028738
C0026769,C0011570
C0026769,C0231687
C0026769,C0004134
C0026769,C0026838
C0026769,C0234376
C0026769,C0028738
C0026769,C0040997
C0026769,C0242350
C0026769,C0235146
C0026769,C0029134
C0026769,C0012766
C0026769,C0012569
C0026769,C0852415
C0026769,C0020580
C0026769,C0852415
C0026769,C0004134
C0026769,C0234376
C0026769,C0028738
C0026769,C0085606
C0026769,C0021167
C0026769,C0080274
C0020621,C1697844
C0020621,C0009806
C0020621,C0035410
C1306557,C0042345
C1306557,C0013604
C1306557,C0852415
C1306557,C0013604
C1306557,C0034150
C1306557,C0019114
C1306557,C0162834
C1306557,C0011644
C1306557,C0406500
C1306557,C1306862
C1306557,C0011620
C1306557,C0033774
C1306557,C0030232
C1306557,C0010520
C0008350,C0027497
C0008350,C0234222
C0008350,C0027497
C0008350,C3714614
C0008350,C0042963
C0008350,C1291077
C0008350,C0027497
C0008350,C0042963
C0008350,C3714614
C0008350,C1291077
C0020550,C0018021
C0020550,C0022107
C0020550,C0917801
C0020550,C0039239
C0020550,C0006370
C0020550,C0038990
C0020550,C0026848
C0020550,C0029456
C0020550,C0015695
C0020550,C0015397
C0020550,C0015300
C0020550,C0039239
C0020550,C3887611
C0020550,C0851578
C0020550,C0003811
C0020550,C0020538
C0020550,C0040822
C0020550,C2363736
C0020550,C0947912
C0020550,C0011991
C0020550,C0002170
C0020550,C3887611
C0020550,C2363736
C0020550,C0020538
C0020550,C0011991
C0025289,C0023518
C0025289,C0007859
C0025289,C0042963
C0025289,C0009676
C0025289,C0015967
C0025289,C0018681
C0025289,C0027497
C0025289,C0151315
C0025289,C0151818
C0025289,C0947927
C0025289,C0085632
C0025289,C0026821
C0025289,C0030353
C0025289,C0085636
C0025289,C0031256
C0025289,C0018681
C0025289,C0015967
C0025289,C0025287
C0025289,C0947927
C0025289,C0004604
C0025289,C0027497
C0022661,C0018681
C0022661,C0009676
C0022661,C0026821
C0022661,C0020461
C0022661,C0034063
C0022661,C0018520
C0022661,C0033774
C0022661,C0002871
C0022661,C0041657
C0022661,C0013604
C0027726,C0003962
C0027726,C0236171
C0027726,C0020538
C0027726,C1565489
C0027726,C0151578
C0027726,C1522133
C0027726,C0020557
C0027726,C0020443
C0027726,C0392178
C0027726,C0013604
C0027726,C0033687
C0041948,C0013144
C0041948,C0002622
C0041948,C1737242
C0041948,C0019521
C0041948,C0006114
C0041948,C0376288
C0041948,C0002418
C0041948,C0003123
C0041948,C0003962
C0041948,C0017152
C0041948,C0038358
C0041948,C0494305
C0041948,C0002453
C0041948,C0242350
C0041948,C0002871
C0041948,C0236171
C0041948,C0031046
C0041948,C2721728
C0041948,C0020538
C0041948,C0034063
C0041948,C0032231
C0041948,C0033774
C0041948,C0002726
C0020676,C0015672
C0020676,C0424230
C0020676,C0030232
C0020676,C0043094
C0020676,C0018800
C0020676,C0020443
C0020676,C0026848
C0020676,C0021359
C0020676,C0011570
C0020676,C0020672
C0020676,C3203358
C0020676,C0020649
C0020676,C0342151
C0020676,C0015672
C0020676,C0151908
C0020676,C0002170
C0020676,C0428977
C0020676,C0027145
C0020676,C0009806
C0020676,C0154251
C0041296,C0010200
C0041296,C0497156
C0041296,C0013404
C0041296,C0015967
C0041296,C0028081
C0041296,C2363736
C0041296,C0232462
C0041296,C2363736
C0041296,C0028081
C0041296,C0015672
C0041296,C0231807
C0235295,C0027497
C0235295,C0232488
C0235295,C0042963
C0020542,C0039239
C0020542,C0012833
C0020542,C0156195
C0020542,C0013404
C0020542,C0010200
C0020542,C0002962
C0020542,C0015672
C0020542,C0013604
C0020542,C0010520
C3495801,C0037199
C3495801,C0029877
C3495801,C0024904
C3495801,C0014583
C3495801,C0003862
C3495801,C0031117
C3495801,C0015967
C3495801,C2363736
C3495801,C0028081
C3495801,C0035455
C3495801,C2609241
C3495801,C0042384
C0020615,C0542247
C0020615,C0038990
C0020615,C0030252
C0020615,C0039239
C0020615,C0006370
C0020615,C0030232
C0020615,C0006370
C0020615,C0027497
C0020615,C0042963
C0020615,C3714552
C0020615,C3887611
C0020615,C0038990
C0020615,C0039239
C0020615,C0040822
C0020615,C0026961
C0020615,C0020538
C0020615,C0231835
C0020615,C0018681
C0020615,C1704374
C0020615,C0022107
C0020615,C0004377
C0020615,C0239779
C0020615,C0012569
C0020615,C0013144
C0011570,C0013415
C0011570,C0011570
C0011570,C0015672
C0003962,C1291077
C0031511,C0020538
C0031511,C0018681
C0031511,C0038990
C0031511,C0030252
C0031511,C0040822
C0031511,C3887611
C0031511,C0000737
C0031511,C0030232
C0031511,C0017979
C0031511,C0023518
C0031511,C2363736
C0031511,C0342952
C0031511,C0042396
C0031511,C0039239
C0031511,C0596624
C0022346,C0023890
C0022346,C0019158
C0017658,C0027726
C0017658,C0033687
C0017658,C0013604
C0017658,C0020476
C0017658,C0020538
C0020649,C0012833
C0020649,C3203485
C0020649,C0039239
C0020649,C0018681
C0020649,C0030232
C0020649,C0040822
C0340643,C0038454
C0340643,C0003460
C0340643,C0030486
C0340643,C0008031
C0340643,C0002962
C0340643,C0004604
C0340643,C0235106
C0340643,C0007177
C0340643,C0036974
C0040425,C0018520
C0040425,C0497156
C0036262,C0033774
C0235527,C0010520
C0235527,C0013604
C0235527,C0003962
C0235527,C0019209
C0235527,C0038002
C0235527,C0032227
C0235527,C0028734
C0854330,C1622418
C0854330,C0022504
C1704272,C0042023
C1704272,C0028734
C0235974,C2363736
C0235974,C0004604
C0235974,C0022346
C0235974,C0152250
C0235974,C0027497
C0235974,C1142277
C0235974,C1168162
C0235974,C0033774
C0235974,C0011991
C0235974,C0038238
C0235974,C0003123
C0235974,C3714614
C0235974,C1291077
C0235974,C2363736
C0235974,C0004604
C0235974,C0271650
C0235974,C0022346
C0235974,C0011991
C0235974,C0038238
C0235974,C2363736
C0235974,C0022346
C0235974,C0000737
C0235974,C0232462
C0235974,C0033774
C0235974,C0003123
C0235974,C2363736
C0235974,C0027497
C0235974,C0022346
C0235974,C0011991
C0235974,C0004604
C0235974,C0033774
C0235974,C0152445
C0011848,C0032617
C0011848,C0085602
C0020437,C0027497
C0020437,C0042963
C0020437,C0009806
C0020437,C0392525
C0020437,C0027709
C0020437,C0032617
C0020437,C0085602
C0020437,C0013144
C0020437,C0009421
C0021345,C0015967
C0021345,C0018520
C0021345,C0031350
C0021345,C0497156
C0021345,C0031157
C0162316,C0033774
C0162316,C3887611
C0162316,C0013404
C0162316,C3714552
C0162316,C0018681
C0162316,C0039239
C0162316,C0231807
C0162316,C0015672
C0162316,C0040264
C0162316,C0015672
C0162316,C0012833
C0162316,C0030252
C0162316,C0851578
C0162316,C0018681
C0852445,C0033774
C0852445,C0038002
C0852445,C0019209
C0852445,C0015967
C0852445,C0028081
C0852445,C2363736
C0852445,C0015672
C0852445,C0497156
C0035012,C0085435
C0035012,C0041976
C0035012,C0009763
C0035012,C0009763
C0035012,C0041976
C0035012,C0003864
C0035012,C0009763
C0035012,C0041976
C0035012,C0003864
C0036974,C0010520
C0036974,C0028961
C0036974,C0231835
C0010674,C0010200
C0010674,C0006267
C0010674,C0013990
C0010674,C0030293
C0010674,C0011991
C0010674,C0006625
C0010674,C1623038
C0010674,C0008350
C0010674,C0021359
C0010674,C2939175
C0010674,C0028778
C0014118,C0015967
C0014118,C0018808
C0014118,C0003123
C0014118,C0018965
C0034734,C0030232
C0034734,C0221347
C0034734,C0022116
C0034734,C0010520
C0034734,C0020452
C0034734,C0030193
C0036341,C1096426
C0036341,C0022492
C0036341,C0233682
C0036341,C0233687
C0036341,C0233686
C0036341,C0233688
C0036341,C0011253
C0036341,C0235146
C0036341,C4049320
C0036341,C0004352
C0036341,C0011551
C0036341,C0233754
C0036341,C0018524
C0036341,C0011253
C0036341,C0007398
C0038525,C0018681
C0038525,C0025287
C0038525,C0947927
C0038525,C0042963
C0038525,C0020649
C0019187,C0015695
C0032461,C1527405
C0032461,C0202113
C0032461,C0702266
C0032461,C0041834
C0032461,C0033774
C0032461,C0014804
C0032461,C0012833
C0032461,C0018681
C0032461,C0015672
C0032461,C0014591
C0032461,C0547030
C0032461,C0020538
C0004943,C0406191
C0004943,C0014743
C0004943,C0042384
C0004943,C0042165
C0004943,C0042167
C0004943,C0003864
C0004943,C0157738
C0004943,C0042384
C0004943,C0038363
C0004943,C0042164
C0011206,C0947927
C0011206,C0233407
C0011206,C0392156
C0011206,C0085631
C0011206,C0018524
C0011206,C0040822
C0011206,C0020538
C0011206,C0039239
C0011206,C0015967
C0020651,C0020649
C0020651,C0012833
C0020651,C0947927
C0011633,C0027121
C0011633,C0015967
C0011633,C0011633
C0011633,C0011168
C0011633,C0027059
C0011633,C0549493
C0011633,C0034069
C0011633,C0003864
C0011633,C0023518
C0011633,C0041834
C0011633,C0085642
C0011633,C0026846
C0011633,C0006664
C0002895,C0242184
C0002895,C0011175
C0002895,C0001122
C0002895,C0019054
C0018995,C0020619
C0018995,C0003862
C0018995,C0023890
C0018995,C0033802
C0018995,C0021359
C0019151,C0009676
C0019151,C0013144
C0019151,C0424230
C0019151,C0851578
C0019151,C0085632
C0019151,C0232766
C0019151,C0239571
C0019151,C0040822
C0019151,C0013144
C0019151,C1142109
C0002726,C0033687
C0002726,C0013604
C0002726,C0031117
C0002726,C0019209
C0002726,C0009677
C0002726,C0003862
C0002726,C0002170
C0035222,C0020578
C0035222,C0002064
C0035222,C0013404
C0035222,C0035229
C0035222,C0020440
C0035222,C0001127
C0035222,C0231835
C0035222,C0013404
C0035222,C0010520
C0035222,C3887611
C0035222,C0009676
C1144799,C0018681
C1144799,C0012833
C1144799,C0014591
C1144799,C0547030
C1144799,C0009676
C1144799,C0013404
C1144799,C0002962
C1144799,C0028961
C0011175,C0085631
C0011175,C0013144
C0011175,C0028961
C0011175,C0020649
C0011175,C0035423
C1384514,C0020538
C1384514,C0020621
C1384514,C0220983
C1384514,C0020538
C1384514,C0020621
C1384514,C0220983
C0034072,C0231807
C0034072,C0039239
C0034072,C0012833
C0034072,C0002962
C0017168,C0234222
C0017168,C1291077
C0017168,C0016204
C0017168,C0011168
C0017168,C2004489
C0017168,C0027497
C0017168,C0042963
C0017168,C0018834
C0017168,C0011168
C0017168,C0002962
C0017168,C0030193
C0017168,C0018834
C0017168,C0234222
C0017168,C2004489
C0033860,C0035339
C0033860,C0239161
C1268964,C0010828
C1268964,C0002871
C1268964,C0236171
C1268964,C0015967
C1268964,C0019087
C1268964,C0038002
C1268964,C0019209
C1268964,C0947757
C1268964,C0427544
C1268964,C1142446
C1268964,C0030312
C1268964,C0858867
C1268964,C0023518
C1268964,C0040034
C1268964,C0023530
C1268964,C0085662
C1268964,C0221281
C1268964,C0333942
C1268964,C0221278
C1145670,C0235106
C1145670,C0947927
C1145670,C1868945
C1145670,C0009080
C1145670,C0851578
C1145670,C0018681
C1145670,C0013404
C1145670,C0010520
C1145670,C3887611
C1145670,C0009676
C1145670,C0039239
C0023212,C0085619
C0023212,C1956414
C0023212,C0034063
C0023212,C0010520
C0023212,C0013404
C0023212,C0010200
C0023212,C0035508
C0023212,C0015672
C0023212,C3887611
C0023212,C0013604
C0549346,C0852415
C0043121,C0152025
C0043121,C0234979
C0043121,C0011168
C0043121,C0013362
C0043121,C0020649
C0019202,C0002871
C0019202,C0040822
C0019202,C0193388
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0000737
C0012813,C0015967
C0012813,C0023518
C0012813,C0009806
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0042963
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0012813,C0009806
C0012813,C0011991
C0012813,C0016204
C0012813,C0027497
C0012813,C0030193
C0012813,C0015967
C0025281,C0042571
C0025281,C0012833
C0025281,C0494562
C0025281,C0040264
C0025281,C0042571
C0025281,C0027497
C0025281,C0042963
C0025281,C0040264
C0024305,C0023530
C0024305,C0202113
C0024305,C1136085
C0024305,C0038002
C0024305,C0019209
C0024305,C0015967
C0024305,C2363736
C0024305,C0028081
C0024305,C0002871
C0024305,C0015672
C0024305,C0015672
C0024305,C0040034
C0024305,C0019087
C0024305,C0031256
C0024305,C0001824
C0024305,C0086438
C0024305,C0236171
C0086543,C0525027
C0086543,C1956311
C0014038,C0015967
C0014038,C0085636
C0014038,C0151818
C0014038,C0947927
C0014038,C0018681
C0024530,C0018681
C0024530,C0038002
C0024530,C0019209
C0024530,C0022346
C0024530,C0027497
C0024530,C0042963
C0024530,C0011991
C0024530,C0002878
C0024530,C0040034
C0024530,C0023530
C0024530,C0020615
C0024530,C0034063
C0024530,C0036974
C0024530,C0035078
C0024530,C0015967
C0024530,C0085593
C0034186,C0027497
C0034186,C0042963
C0034186,C0919671
C0034186,C0018681
C0034186,C0015967
C0034186,C0085593
C0034186,C0013428
C0034186,C0030193
C0034186,C0004604
C0032026,C0040252
C0032026,C0013595
C0032026,C0039128
C0032026,C0033860
C0032026,C0085657
C0017551,C0019054
C0600139,C0478132
C0600139,C0042023
C0600139,C0013428
C0600139,C0028734
C0600139,C0021167
C0600139,C0042023
C0600139,C0028734
C0600139,C0013428
C0600139,C0018965
C0600139,C0149707
C0600139,C0015672
C0600139,C0015672
C0600139,C0002871
C0013080,C0009677
C0013080,C0265610
C0019158,C0234233
C0019158,C0011991
C0019158,C0003862
C0019158,C0015230
C0019158,C0015672
C0019158,C0003123
C0019158,C0027497
C0001824,C0015967
C0001824,C0031157
C0001824,C0038363
C0155502,C0028738
C0155502,C0027497
C0155502,C0042571
C0155502,C0042571
C0155502,C0028738
C0155502,C0027497
C0155502,C1739421
C0155502,C0027497
C0155502,C0240595
C0023434,C0015967
C0023434,C2363736
C0023434,C0236171
C0023434,C0040034
C0023434,C0002871
C0023434,C0001824
C0023434,C0026470
C0023434,C0023518
C0023434,C0019209
C0023434,C0042109
C0023434,C0034150
C0023434,C0497156
C0023434,C0015672
C0023434,C0028081
C0023434,C0038002
C0023434,C0033774
C0023434,C0263338
C0023434,C0854330
C0023434,C0026946
C0003504,C0002962
C0003504,C0030252
C0003504,C0013404
C0003504,C3887611
C0003504,C0030252
C0003504,C0038218
C0003504,C0023212
C0149931,C0236018
C0149931,C0085636
C0149931,C0027497
C0149931,C2363911
C0149931,C0003123
C0149931,C0018681
C0149931,C0751466
C0149931,C0085636
C0149931,C0042963
C0149931,C0027497
C0149931,C0012833
C0149931,C0003537
C0007787,C0547030
C0007787,C0260662
C0007787,C0852418
C0023473,C0023518
C0023473,C0038002
C0023473,C0005699
C0023473,C0023518
C0023473,C0038002
C0023473,C0015672
C0023473,C0015672
C0023473,C0028081
C0023473,C0920063
C0006267,C0010200
C0006267,C0024110
