Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
myelodysplastisches syndrom nicht klassifizierbar,C1268964,chronische muedigkeit,C0518656
myelodysplastisches syndrom nicht klassifizierbar,C1268964,blaesse,C0030232
myelodysplastisches syndrom nicht klassifizierbar,C1268964,leukozytopenie,C0023530
myelodysplastisches syndrom nicht klassifizierbar,C1268964,thrombozytopenie,C0040034
myelodysplastisches syndrom nicht klassifizierbar,C1268964,petechien,C0031256
myelodysplastisches syndrom nicht klassifizierbar,C1268964,hepatosplenomegalie,C0019214
akute und chronische sarkoidose,C0947845,fieber,C0015967
akute und chronische sarkoidose,C0947845,abgeschlagenheit,C0015672
akute und chronische sarkoidose,C0947845,appetitlosigkeit,C0003123
akute und chronische sarkoidose,C0947845,unbeabsichtigter gewichtsverlust,C2363736
akute und chronische sarkoidose,C0947845,dyspnoe,C0013404
akute und chronische sarkoidose,C0947845,husten,C0010200
akute und chronische sarkoidose,C0947845,polyarthritis,C0162323
loefgren - syndrom,C0340164,fieber,C0015967
loefgren - syndrom,C0340164,polyarthritis,C0162323
loefgren - syndrom,C0340164,erythema nodosum,C0014743
loefgren - syndrom,C0340164,hilaere lymphadenopathie,C0456973
heerfordt - syndrom,C0042171,fieber,C0015967
heerfordt - syndrom,C0042171,parotitis,C0030583
heerfordt - syndrom,C0042171,uveitis,C0042164
heerfordt - syndrom,C0042171,iridozyklitis,C0022073
heerfordt - syndrom,C0042171,fazialisparese,C0376175
akute und chronische sarkoidose,C0947845,reizhusten,C0859870
akute und chronische sarkoidose,C0947845,belastungsdyspnoe,C0231807
akute und chronische sarkoidose,C0947845,iridozyklitis,C0022073
akute und chronische sarkoidose,C0947845,erythema nodosum,C0014743
akute und chronische sarkoidose,C0947845,lymphadenopathie,C0497156
akute und chronische sarkoidose,C0947845,meningoenzephalitis,C0025309
akute und chronische sarkoidose,C0947845,sehstoerungen,C0547030
akute und chronische sarkoidose,C0947845,stauungspapille,C0030353
akute und chronische sarkoidose,C0947845,hydrozephalus,C0020255
akute und chronische sarkoidose,C0947845,herzinsuffizienz,C0018801
akute und chronische sarkoidose,C0947845,perikarderguss,C0031039
akute und chronische sarkoidose,C0947845,kalzium hoch,C0553702
akute und chronische sarkoidose,C0947845,lungenfibrose,C0034069
antiphospholipid - syndrom,C0085278,aborte spontan,C0000786
antiphospholipid - syndrom,C0085278,livedo - vaskulitis,C0857794
antiphospholipid - syndrom,C0085278,amaurosis fugax,C0149793
"mikroangiopathie , thrombotische",C0034155,abgeschlagenheit,C0015672
"mikroangiopathie , thrombotische",C0034155,fieber,C0015967
"mikroangiopathie , thrombotische",C0034155,thrombozytopenie,C0040034
"mikroangiopathie , thrombotische",C0034155,petechien,C0031256
"mikroangiopathie , thrombotische",C0034155,"nierenversagen , akutes",C0022660
"mikroangiopathie , thrombotische",C0034155,anurie,C0003460
"mikroangiopathie , thrombotische",C0034155,oligurie,C0028961
"mikroangiopathie , thrombotische",C0034155,hypertonie,C0020538
"mikroangiopathie , thrombotische",C0034155,haemolyse,C0019054
"mikroangiopathie , thrombotische",C0034155,fieber,C0015967
"mikroangiopathie , thrombotische",C0034155,verwirrtheit,C0009676
"mikroangiopathie , thrombotische",C0034155,krampfanfaelle,C0036572
"mikroangiopathie , thrombotische",C0034155,niereninsuffizienz,C1565489
"mikroangiopathie , thrombotische",C0034155,thrombozytopenie,C0040034
"mikroangiopathie , thrombotische",C0034155,mikroangiopathische haemolytische anaemie,C0221021
"mikroangiopathie , thrombotische",C0034155,haemolyse,C0019054
hypersplenismus,C0020532,panzytopenie,C0030312
hypersplenismus,C0020532,haemolytische anaemie,C0002878
hypersplenismus,C0020532,blaesse,C0030232
hypersplenismus,C0020532,muedigkeit,C0015672
hypersplenismus,C0020532,leukopenie,C0023530
hypersplenismus,C0020532,thrombozytopenie,C0040034
hypersplenismus,C0020532,petechien,C0031256
pleuraerguss,C0032227,atmung anomal,C1260922
lungenoedem,C0034063,rasselgeraeusche lunge,C0035508
lungenoedem,C0034063,dyspnoe,C0013404
lungenoedem,C0034063,husten,C0010200
lungenoedem,C0034063,rasselgeraeusche lunge,C0035508
lungenoedem,C0034063,sinustachykardie,C0039239
lungenoedem,C0034063,zyanose,C0010520
lungenoedem,C0034063,unruhe,C3887611
pneumothorax,C0032326,akute dyspnoe,C0743323
pneumothorax,C0032326,husten,C0010200
pneumothorax,C0032326,schmerzen nnb,C0030193
pneumothorax,C0032326,schmerzen nnb,C0030193
pneumothorax,C0032326,dyspnoe,C0013404
pneumothorax,C0032326,tachypnoe,C0231835
asthma chronisch,C0877430,giemen,C0043144
asthma chronisch,C0877430,verlaengertes exspirium,C0239324
asthma chronisch,C0877430,trockener husten,C0850149
asthma chronisch,C0877430,chronischer husten,C0010201
asthma chronisch,C0877430,atemnot,C0013404
asthma chronisch,C0877430,husten,C0010200
asthma chronisch,C0877430,verlaengertes exspirium,C0239324
asthma chronisch,C0877430,sinustachykardie,C0039239
asthma chronisch,C0877430,pulsus paradoxus,C0232118
asthma chronisch,C0877430,giemen,C0043144
asthma chronisch,C0877430,eosinophilie,C0014457
asthma chronisch,C0877430,sinustachykardie,C0039239
asthma chronisch,C0877430,rechtsschenkelblock,C0085615
copd,C0024117,chronischer husten,C0010201
copd,C0024117,giemen,C0043144
copd,C0024117,verlaengertes exspirium,C0239324
pneumonie,C0032285,fieber,C0015967
pneumonie,C0032285,dyspnoe,C0013404
pneumonie,C0032285,rasselgeraeusche lunge,C0035508
lungenemphysem,C0034067,emphysem,C0013990
lungenemphysem,C0034067,obstruktion,C0028778
lungenemphysem,C0034067,cor pulmonale,C0034072
lungenemphysem,C0034067,dyspnoe,C0013404
lungenemphysem,C0034067,zyanose,C0010520
lungenfibrose,C0034069,dyspnoe,C0013404
lungenfibrose,C0034069,trommelschlegelfinger,C0009080
lungenfibrose,C0034069,belastungsdyspnoe,C0231807
lungenfibrose,C0034069,tachypnoe,C0231835
lungenfibrose,C0034069,fieber,C0015967
lungenfibrose,C0034069,reizhusten,C0859870
lungenembolie,C0034065,akute dyspnoe,C0743323
lungenembolie,C0034065,sinustachykardie,C0039239
lungenembolie,C0034065,dyspnoe,C0013404
lungenembolie,C0034065,thoraxschmerz,C0008031
lungenembolie,C0034065,angst,C0003467
lungenembolie,C0034065,schock,C0036974
lungenembolie,C0034065,synkope,C0039070
lungenembolie,C0034065,tachypnoe,C0231835
lungenembolie,C0034065,sinustachykardie,C0039239
lungenembolie,C0034065,zyanose,C0010520
lungenembolie,C0034065,husten,C0010200
lungenembolie,C0034065,schwindel,C0012833
lungenembolie,C0034065,tachypnoe,C0231835
lungenembolie,C0034065,dyspnoe,C0013404
lungenembolie,C0034065,thoraxschmerzen,C0008031
lungenembolie,C0034065,husten,C0010200
lungenembolie,C0034065,fieber,C0015967
lungenembolie,C0034065,sinustachykardie,C0039239
lungenembolie,C0034065,hypotonie,C0020649
akute bronchitis,C0149514,rhinitis,C0035455
akute bronchitis,C0149514,laryngitis,C0023067
akute bronchitis,C0149514,pharyngitis,C0031350
akute bronchitis,C0149514,husten,C0010200
akute bronchitis,C0149514,fieber,C0015967
akute bronchitis,C0149514,abgeschlagenheit,C0015672
akute bronchitis,C0149514,kopfschmerzen,C0018681
akute bronchitis,C0149514,husten,C0010200
akute bronchitis,C0149514,fieber,C0015967
akute bronchitis,C0149514,kopfschmerzen,C0018681
akute bronchitis,C0149514,myalgie,C0231528
bronchiolitis,C0006271,fieber,C0015967
bronchiolitis,C0006271,tachypnoe,C0231835
bronchiolitis,C0006271,zyanose,C0010520
bronchiolitis,C0006271,verlaengertes exspirium,C0239324
bronchiolitis,C0006271,husten,C0010200
pontiac - fieber,C0343528,schnupfen,C0009443
pontiac - fieber,C0343528,husten,C0010200
pontiac - fieber,C0343528,rauer hals,C0242429
pontiac - fieber,C0343528,fieber,C0015967
pontiac - fieber,C0343528,verwirrtheit,C0009676
pontiac - fieber,C0343528,schwindel,C0012833
pontiac - fieber,C0343528,lichtscheu,C0085636
pontiac - fieber,C0343528,muskelschmerzen,C0231528
pontiac - fieber,C0343528,kopfschmerzen,C0018681
pneumonie durch legionella,C0023241,pleuritis,C0032231
pneumonie durch legionella,C0023241,fieber,C0015967
pneumonie durch legionella,C0023241,rhinitis,C0035455
pneumonie durch legionella,C0023241,laryngitis,C0023067
pneumonie durch legionella,C0023241,kopfschmerzen,C0018681
pneumonie durch legionella,C0023241,verwirrtheit,C0009676
pneumonie durch legionella,C0023241,lethargie,C0023380
pneumonie durch legionella,C0023241,diarrhoe,C0011991
pneumonie durch legionella,C0023241,trockener husten,C0850149
atypische pneumonie,C0857946,kopfschmerzen,C0018681
atypische pneumonie,C0857946,fieber,C0015967
atypische pneumonie,C0857946,atemnot,C0013404
atypische pneumonie,C0857946,trockener husten,C0850149
pneumocystis jirovecii - pneumonie,C1535939,trockener husten,C0850149
pneumocystis jirovecii - pneumonie,C1535939,belastungsdyspnoe,C0231807
tuberkulose,C0041296,unbeabsichtigter gewichtsverlust,C2363736
tuberkulose,C0041296,nachtschweiss,C0028081
tuberkulose,C0041296,abgeschlagenheit,C0015672
tuberkulose,C0041296,belastungsdyspnoe,C0231807
"tuberkulose , urogenitale",C0041333,dysurie,C0013428
"tuberkulose , urogenitale",C0041333,haematurie,C0018965
"tuberkulose , urogenitale",C0041333,prostatitis,C0033581
"tuberkulose , urogenitale",C0041333,amenorrhoe,C0002453
"tuberkulose , urogenitale",C0041333,metrorrhagie,C0025874
"tuberkulose , urogenitale",C0041333,hypermenorrhoe,C0025323
atypische mykobakteriose,C1740806,nachtschweiss,C0028081
atypische mykobakteriose,C1740806,wasting - syndrom,C0043046
atypische mykobakteriose,C1740806,diarrhoe,C0011991
myxoedem,C0027145,trockene haut,C0151908
myxoedem,C0027145,heiserkeit,C0019825
myxoedem,C0027145,langsame sprache,C1859270
myxoedem,C0027145,bradykardie,C0428977
myxoedem,C0027145,kardiomegalie,C0018800
"alveolitis , exogen – allergische",C0002390,fieber,C0015967
"alveolitis , exogen – allergische",C0002390,reizhusten,C0859870
"alveolitis , exogen – allergische",C0002390,dyspnoe,C0013404
"alveolitis , exogen – allergische",C0002390,leukozytose,C0023518
exogen - allergische alveolitis,C0002390,muedigkeit,C0015672
exogen - allergische alveolitis,C0002390,abgeschlagenheit,C0015672
exogen - allergische alveolitis,C0002390,husten,C0010200
exogen - allergische alveolitis,C0002390,dyspnoe,C0013404
exogen - allergische alveolitis,C0002390,zyanose,C0010520
exogen - allergische alveolitis,C0002390,unbeabsichtigter gewichtsverlust,C2363736
exogen - allergische alveolitis,C0002390,lungenfibrose,C0034069
exogen - allergische alveolitis,C0002390,leukozytose,C0023518
pertussis,C0043167,schnupfen,C0009443
pertussis,C0043167,leichtes fieber,C1096446
pertussis,C0043167,lymphozytose,C0024282
pertussis,C0043167,reizhusten,C0859870
pertussis,C0043167,erbrechen,C0042963
gastrinom,C0017150,diarrhoe,C0011991
gastrinom,C0017150,reflux - oesophagitis,C0014869
gastrinom,C0017150,abdominalschmerzen,C0000737
gastrinom,C0017150,steatorrhoe,C0038238
gastrinom,C0017150,gastrin hoch,C0541977
gastrinom,C0017150,andere peptische ulzera,C0497194
gastrinom,C0017150,diarrhoe,C0011991
gastrinom,C0017150,steatorrhoe,C0038238
chronische gastritis,C0085695,uebelkeit,C0027497
chronische gastritis,C0085695,voellegefuehl,C3714614
morbus whipple,C0023788,malabsorptionssyndrom,C0024523
morbus whipple,C0023788,abdominalschmerzen,C0000737
morbus whipple,C0023788,diarrhoe,C0011991
morbus whipple,C0023788,steatorrhoe,C0038238
morbus whipple,C0023788,enteropathische arthritis,C0151435
morbus whipple,C0023788,arthritis,C0003864
morbus whipple,C0023788,sakroiliitis,C0574960
morbus whipple,C0023788,fieber,C0015967
morbus whipple,C0023788,polyserositis,C0151859
morbus whipple,C0023788,lymphknotenvergroesserung,C0497156
morbus whipple,C0023788,ataxie,C0004134
morbus whipple,C0023788,polyserositis,C0151859
morbus whipple,C0023788,arthritis,C0003864
morbus whipple,C0023788,abdominalschmerzen,C0000737
morbus whipple,C0023788,meteorismus,C1291077
morbus whipple,C0023788,steatorrhoe,C0038238
morbus whipple,C0023788,malabsorption,C3714745
morbus whipple,C0023788,diarrhoe,C0011991
morbus whipple,C0023788,fieber,C0015967
morbus whipple,C0023788,unbeabsichtigter gewichtsverlust,C2363736
morbus whipple,C0023788,belastungsdyspnoe,C0231807
morbus whipple,C0023788,chronischer husten,C0010201
morbus whipple,C0023788,angina pectoris,C0002962
morbus whipple,C0023788,dyspnoe,C0013404
morbus whipple,C0023788,arthralgie,C0003862
morbus whipple,C0023788,endokarditis,C0014118
morbus whipple,C0023788,eisenmangelanaemie,C0162316
morbus whipple,C0023788,kopfschmerzen,C0018681
morbus whipple,C0023788,apathie,C0085632
morbus whipple,C0023788,parkinsonismus,C0242422
morbus whipple,C0023788,sinnesorgane,C0036665
morbus whipple,C0023788,tinnitus,C0040264
morbus whipple,C0023788,ophthalmopathie nnb,C0015397
zinkmangel,C0235950,diarrhoe,C0011991
zinkmangel,C0235950,alopezie,C0002170
magnesiummangel,C0024473,hyperreflexie,C0151889
magnesiummangel,C0024473,paraesthesien und dysaesthesien,C0852415
magnesiummangel,C0024473,tetanie,C0039621
magnesiummangel,C0024473,arrhythmien,C0003811
magnesiummangel,C0024473,extrasystolen,C0340464
kaliummangel,C0032827,extrasystolen,C0340464
kaliummangel,C0032827,muskelschwaeche,C0151786
kaliummangel,C0032827,obstipation,C0009806
kaliummangel,C0032827,polyurie,C0032617
kaliummangel,C0032827,polydipsie,C0085602
vitamin - a-mangel,C0042842,nachtblindheit,C0028077
vitamin - a-mangel,C0042842,trockene haut,C0151908
vitamin - a-mangel,C0042842,trockene schleimhaut,C0854113
gluten - sensitive enteropathie,C0007570,diarrhoe,C0011991
gluten - sensitive enteropathie,C0007570,steatorrhoe,C0038238
gluten - sensitive enteropathie,C0007570,flatulenz,C0016204
gluten - sensitive enteropathie,C0007570,obstipation,C0009806
gluten - sensitive enteropathie,C0007570,appetitlosigkeit,C0003123
gluten - sensitive enteropathie,C0007570,unbeabsichtigter gewichtsverlust,C2363736
gluten - sensitive enteropathie,C0007570,infektanfaelligkeit erhoeht,C0236171
gluten - sensitive enteropathie,C0007570,oedem,C0013604
gluten - sensitive enteropathie,C0007570,aphthen,C0038363
gluten - sensitive enteropathie,C0007570,muskelatrophie,C0026846
gluten - sensitive enteropathie,C0007570,vitamin b12 - mangel,C0042847
gluten - sensitive enteropathie,C0007570,folsaeuremangel,C0016412
gluten - sensitive enteropathie,C0007570,megaloblastaere anaemie,C0002888
gluten - sensitive enteropathie,C0007570,vitamin - k - mangel,C0042880
gluten - sensitive enteropathie,C0007570,ekchymosen,C0013491
gluten - sensitive enteropathie,C0007570,eisenmangelanaemie,C0162316
gluten - sensitive enteropathie,C0007570,zungenbrennen,C0017672
gluten - sensitive enteropathie,C0007570,blaesse,C0030232
gluten - sensitive enteropathie,C0007570,rhagaden,C0221245
gluten - sensitive enteropathie,C0007570,hypokalzaemie,C0020598
gluten - sensitive enteropathie,C0007570,tetanie,C0039621
gluten - sensitive enteropathie,C0007570,knochenschmerzen,C0151825
gluten - sensitive enteropathie,C0007570,osteoporose,C0029456
gluten - sensitive enteropathie,C0007570,nausea,C0027497
gluten - sensitive enteropathie,C0007570,"hepatitis , chronische",C0019189
gluten - sensitive enteropathie,C0007570,polyarthritis,C0162323
gluten - sensitive enteropathie,C0007570,dermatitis herpetiformis,C0011608
gluten - sensitive enteropathie,C0007570,anti-transglutaminase - antikoerper,C3203595
gluten - sensitive enteropathie,C0007570,diarrhoe,C0011991
gluten - sensitive enteropathie,C0007570,unbeabsichtigter gewichtsverlust,C2363736
gluten - sensitive enteropathie,C0007570,malabsorptionssyndrom,C0024523
gluten - sensitive enteropathie,C0007570,erythem,C0041834
gluten - sensitive enteropathie,C0007570,eisenmangelanaemie,C0162316
gluten - sensitive enteropathie,C0007570,zungenbrennen,C0017672
gluten - sensitive enteropathie,C0007570,osteoporose,C0029456
gluten - sensitive enteropathie,C0007570,hepatitis,C0019158
gluten - sensitive enteropathie,C0007570,arthritis,C0003864
gluten - sensitive enteropathie,C0007570,sonstige stuhlveraenderungen,C0478120
gluten - sensitive enteropathie,C0007570,diarrhoe,C0011991
gluten - sensitive enteropathie,C0007570,steatorrhoe,C0038238
gluten - sensitive enteropathie,C0007570,flatulenz,C0016204
gluten - sensitive enteropathie,C0007570,obstipation,C0009806
gluten - sensitive enteropathie,C0007570,appetitlosigkeit,C0003123
gluten - sensitive enteropathie,C0007570,malabsorption,C3714745
gluten - sensitive enteropathie,C0007570,unbeabsichtigter gewichtsverlust,C2363736
gluten - sensitive enteropathie,C0007570,infektanfaelligkeit erhoeht,C0236171
gluten - sensitive enteropathie,C0007570,aphthen,C0038363
gluten - sensitive enteropathie,C0007570,muskelatrophie,C0026846
gluten - sensitive enteropathie,C0007570,folsaeuremangel,C0016412
gluten - sensitive enteropathie,C0007570,vitaminmangel,C1510471
gluten - sensitive enteropathie,C0007570,eisenmangelanaemie,C0162316
gluten - sensitive enteropathie,C0007570,zungenbrennen,C0017672
gluten - sensitive enteropathie,C0007570,blaesse,C0030232
gluten - sensitive enteropathie,C0007570,rhagaden,C0221245
gluten - sensitive enteropathie,C0007570,hypokalzaemie,C0020598
gluten - sensitive enteropathie,C0007570,tetanie,C0039621
gluten - sensitive enteropathie,C0007570,knochenschmerzen,C0151825
gluten - sensitive enteropathie,C0007570,osteoporose,C0029456
gluten - sensitive enteropathie,C0007570,nausea,C0027497
"allergie , weizen",C0949570,pruritus,C0033774
"allergie , weizen",C0949570,urtikaria,C0042109
"allergie , weizen",C0949570,atopisches ekzem,C0011615
"allergie , weizen",C0949570,atemnot,C0013404
"allergie , weizen",C0949570,diarrhoe,C0011991
"allergie , weizen",C0949570,uebelkeit,C0027497
"allergie , weizen",C0949570,erbrechen,C0042963
"allergie , weizen",C0949570,kraempfe,C0026821
"allergie , weizen",C0949570,blaehungen,C1291077
acrodermatitis enteropathica,C0221036,rezidivierende durchfaelle,C0401151
menetrier - krankheit,C0017155,diarrhoe,C0011991
menetrier - krankheit,C0017155,oedem,C0013604
leukozytopenie,C0023530,stomatitis,C0038362
leukozytopenie,C0023530,parodontitis,C0031099
leukozytopenie,C0023530,sinusitis,C0037199
leukozytopenie,C0023530,otitis media,C0029882
leukozytopenie,C0023530,pharyngitis,C0031350
leukozytopenie,C0023530,pneumonie,C0032285
leukozytopenie,C0023530,furunkel,C0242301
leukozytopenie,C0023530,lymphadenopathie,C0497156
leukozytopenie,C0023530,fieber,C0015967
cushing - krankheit,C0221406,haematom,C0018944
cushing - krankheit,C0221406,hypercholesterinaemie,C0020443
cushing - krankheit,C0221406,osteoporose,C0029456
cushing - krankheit,C0221406,myopathie,C0026848
cushing - krankheit,C0221406,adynamie,C0235704
cushing - krankheit,C0221406,virilismus,C0042755
cushing - krankheit,C0221406,hypokaliaemie,C0020621
cushing - krankheit,C0221406,vollmondgesicht,C0332601
cushing - krankheit,C0221406,stammfettsucht,C0311277
cushing - krankheit,C0221406,hypertonie,C0020538
cushing - krankheit,C0221406,hypogonadismus,C0020619
cushing - krankheit,C0221406,myasthenie,C0947912
cushing - krankheit,C0221406,hirsutismus,C0019572
cushing - krankheit,C0221406,depression,C0011570
hyperkaliaemie,C0020461,myasthenie,C0947912
hyperkaliaemie,C0020461,paraesthesien und dysaesthesien,C0852415
koronare herzkrankheit,C0010068,angina pectoris,C0002962
koronare herzkrankheit,C0010068,angina pectoris,C0002962
koronare herzkrankheit,C0010068,angst,C0003467
osteoporose,C0029456,rundruecken,C0022822
osteoporose,C0029456,frakturen,C0016658
osteoporose,C0029456,rueckenschmerzen,C0004604
ileus,C1258215,erbrechen,C0042963
ileus,C1258215,meteorismus,C1291077
ileus,C1258215,bauchschmerzen,C0000737
leberzirrhose,C0023890,muedigkeit,C0015672
leberzirrhose,C0023890,abgeschlagenheit,C0015672
leberzirrhose,C0023890,abgeschlagenheit,C0015672
leberzirrhose,C0023890,druckgefuehl,C0234222
leberzirrhose,C0023890,meteorismus,C1291077
leberzirrhose,C0023890,uebelkeit,C0027497
leberzirrhose,C0023890,unbeabsichtigter gewichtsverlust,C2363736
leberzirrhose,C0023890,libidoverlust,C2981158
leberzirrhose,C0023890,impotenz,C0242350
leberzirrhose,C0023890,hodenatrophie,C0156312
leberzirrhose,C0023890,gynaekomastie,C0018418
leberzirrhose,C0023890,amenorrhoe,C0002453
leberzirrhose,C0023890,splenomegalie,C0038002
leberzirrhose,C0023890,aszites,C0003962
leberzirrhose,C0023890,foetor hepaticus,C0239571
guillain - barre - syndrom,C0018378,stoerung der temperaturregulation,C0854171
guillain - barre - syndrom,C0018378,herzfrequenz anomal,C1744601
